District code,District name,State name,Population,Male,Female,Literate,Households_with_Internet,Housholds_with_Electric_Lighting,Latitude,Longitude,Sex Ratio,Literacy Rate
401,Surguja,CHHATTISGARH,2359886,1193129,1166757,1187941,2737,253131,23.32719278728607,83.23582493887531,977.8967739448124,50.33891467638691
495,Daman,DAMAN AND DIU,191173,124659,66514,150348,1316,49249,20.431616666666677,72.8392366071429,533.5675723373362,78.64499693994445
479,Junagadh,GUJARAT,2743082,1404356,1338726,1842818,6628,498326,20.72568199498111,70.83985639899612,953.2668354747657,67.18056550988997
585,North Goa,GOA,818008,416677,401331,663060,23440,173951,15.548723418714054,73.80667997909038,963.1705133712684,81.05788696443066
586,South Goa,GOA,640537,322463,318074,502427,17624,138810,15.195278658183785,73.941792596877,986.3891361179423,78.43840402662141
474,Ahmadabad,GUJARAT,7214225,3788051,3426174,5435760,126341,1456046,22.605425564971743,72.23898135593227,904.4688152297844,75.34780243200066
480,Amreli,GUJARAT,1514190,771049,743141,995459,2538,273331,21.04832649310872,71.43457637825426,963.805153758062,65.74201388200952
482,Anand,GUJARAT,2092745,1087224,1005521,1551253,9902,378310,22.282718206229863,72.57782051557454,924.8517324856699,74.12527565470232
469,Banas Kantha,GUJARAT,3120506,1610379,1510127,1704923,3424,396873,24.258538965517253,71.93205252873561,937.7463317641375,54.63610709288814
488,Bharuch,GUJARAT,1551019,805707,745312,1118276,10257,309091,21.75787276237761,72.67326346710801,925.0409888458211,72.09943914291186
481,Bhavnagar,GUJARAT,2880365,1490201,1390164,1887255,7297,500757,21.70219390341736,72.16272632761141,932.8701295999667,65.52138357465113
473,Gandhinagar,GUJARAT,1391753,723864,667889,1030494,12107,262539,23.193679790026252,72.67221679790026,922.6719383751644,74.04287973512541
477,Jamnagar,GUJARAT,2160119,1114192,1045927,1396534,11573,386538,22.410600414263328,69.62062005768233,938.7313856139697,64.65079007221361
479,Junagadh,GUJARAT,2743082,1404356,1338726,1842818,6628,498326,20.929523011609785,70.54733890140345,953.2668354747657,67.18056550988997
468,Kachchh,GUJARAT,2092371,1096737,995634,1252319,9631,403294,23.48057203301311,68.82192301497916,907.8147267758816,59.851670664523645
483,Kheda,GUJARAT,2299885,1185727,1114158,1660243,5710,372226,22.88765312500002,73.018803515625,939.6412496299739,72.18808766525284
471,Mahesana,GUJARAT,2035064,1056520,978544,1502645,7759,385609,23.529355452865065,72.45545194085031,926.1954340665582,73.83772697074883
487,Narmada,GUJARAT,590297,301086,289211,370336,576,101940,21.70666386292833,73.68403208722742,960.5594414884783,62.73723227460075
490,Navsari,GUJARAT,1329672,678165,651507,1001909,6726,267679,20.866973318871995,72.86184869848157,960.6909822830727,75.35008633708162
484,Panch Mahals,GUJARAT,2390776,1226961,1163815,1440805,3456,398937,22.80435606837605,73.61984598290586,948.5346315001048,60.26516076788457
470,Patan,GUJARAT,1343734,694397,649337,837913,2231,223424,23.80634198473284,71.75162977099237,935.1091666582661,62.3570587631183
478,Porbandar,GUJARAT,585449,300209,285240,393678,1653,117040,21.55092351651571,69.71896987722886,950.1380704775672,67.24377358232742
476,Rajkot,GUJARAT,3804558,1974445,1830113,2725056,21785,747352,22.40603377715488,70.83679439383323,926.8999642937636,71.62608639426709
472,Sabar Kantha,GUJARAT,2428589,1244231,1184358,1578734,5262,438606,23.71803594548552,73.13638790459964,951.8795143345569,65.00622377849854
492,Surat,GUJARAT,6081322,3402224,2679098,4571410,55694,1252452,21.25761372772093,72.93488716344339,787.4549118458984,75.17131965714033
475,Surendranagar,GUJARAT,1756268,909917,846351,1093626,2975,302068,22.82672007299272,71.48358740875906,930.1408809814523,62.269881362070024
489,The Dangs,GUJARAT,228291,113821,114470,140968,137,29794,20.801633877551023,73.6883518367347,1005.7019354952075,61.749258621671466
486,Vadodara,GUJARAT,4165626,2153736,2011890,2893080,53606,798277,22.26133739279589,73.49433010291594,934.1395602803686,69.45126614823319
491,Valsad,GUJARAT,1705678,887222,818456,1170657,11020,329218,20.44238231644259,72.9148584798345,922.4929048197633,68.63294244282918
70,Ambala,HARYANA,1128350,598703,529647,818025,12899,199681,30.3503672316384,76.94970310734456,884.6573342709156,72.49745203172775
81,Bhiwani,HARYANA,1634445,866672,767773,1069871,5292,266244,28.728868064516128,76.02110225806452,885.8864714678679,65.45775477302693
88,Faridabad,HARYANA,1809733,966110,843623,1272739,43437,333171,28.14873109756098,77.32718536585368,873.2163004212771,70.32744609287668
78,Fatehabad,HARYANA,942011,495360,446651,557578,3210,153301,29.57298318584072,75.54608716814157,901.6694928940568,59.19017930788494
86,Gurgaon,HARYANA,1514432,816690,697742,1111116,67087,305751,28.043894789579163,77.01935130260523,854.3535490822711,73.3684972319655
80,Hisar,HARYANA,1743931,931562,812369,1114311,10132,285004,29.23628731117825,75.84324682779452,872.05038419343,63.89650737328484
83,Jhajjar,HARYANA,958405,514667,443738,676091,5034,168558,28.59651868131869,76.61137142857145,862.1846747508583,70.5433506711672
77,Jind,HARYANA,1334152,713006,621146,832758,5263,222462,29.45149821958457,76.29598575667653,871.1651795356561,62.41852502563427
73,Kaithal,HARYANA,1074304,571003,503301,646529,3724,187349,29.96068539094649,76.37698930041155,881.4331973737442,60.18119638389133
74,Karnal,HARYANA,1505324,797712,707612,978013,11163,267223,29.703200647249204,76.87488025889972,887.0519686302825,64.97026553751883
72,Kurukshetra,HARYANA,964655,510976,453679,646893,7356,171908,30.05652659846548,76.78774680306903,887.8675319388778,67.05951868802836
84,Mahendragarh,HARYANA,922088,486665,435423,630255,2624,135455,28.1352161458333,76.14018072916659,894.7078585885569,68.35085154562255
69,Panchkula,HARYANA,561293,299679,261614,405318,18615,103455,30.700897142857134,76.97173238095236,872.9807560756676,72.2114831291322
75,Panipat,HARYANA,1205437,646857,558580,786599,10024,209965,29.34352134146342,76.92895914634147,863.52934265224,65.25426048810515
85,Rewari,HARYANA,900332,474335,425997,636947,5121,152651,28.19164714828897,76.55956007604564,898.0931198414622,70.74579155244955
82,Rohtak,HARYANA,1061204,568479,492725,747582,8482,193120,28.892517647058817,76.53123235294117,866.7426589196787,70.44658708410448
79,Sirsa,HARYANA,1295189,682582,612607,782897,6287,215527,29.63583446327684,74.90970480225988,897.4848443117456,60.446544867196984
30,Bilaspur,HIMACHAL PRADESH,381956,192764,189192,287620,1574,79146,31.3780422907489,76.65316079295157,981.469569006661,75.3018672307805
406,Bilaspur,CHHATTISGARH,2663629,1351574,1312055,1596560,8566,519704,31.3780422907489,76.65316079295157,970.7607574576012,59.939278330428145
23,Chamba,HIMACHAL PRADESH,519080,261320,257760,323842,1615,96082,32.66741814595661,76.39354063116366,986.3768559620388,62.3876859058334
28,Hamirpur,HIMACHAL PRADESH,454768,217070,237698,358091,2521,104120,31.67668481012659,76.49767088607594,1095.0292532362832,78.74146817718045
168,Hamirpur,UTTAR PRADESH,1104285,593537,510748,653299,1196,55929,31.67668481012659,76.49767088607594,860.5158566357278,59.16036168199332
24,Kangra,HIMACHAL PRADESH,1510075,750591,759484,1152640,8053,330081,32.14093603238864,76.41205910931173,1011.8479971116094,76.32998361008559
34,Kinnaur,HIMACHAL PRADESH,84121,46249,37872,60699,354,17865,31.60667184065933,78.51613736263741,818.8717593893922,72.15677417054005
26,Kullu,HIMACHAL PRADESH,437903,225452,212451,307672,2623,91322,31.90911922077925,77.40922649350647,942.3336231215513,70.26030878984615
27,Mandi,HIMACHAL PRADESH,999777,498065,501712,723747,5333,214491,31.635805940594054,76.96556930693067,1007.3223374459157,72.39084315802424
33,Shimla,HIMACHAL PRADESH,814010,425039,388971,612642,9177,172754,31.155725451807253,77.62573042168668,915.1419046252227,75.26222036584316
32,Sirmaur,HIMACHAL PRADESH,529855,276289,253566,362645,2220,91509,30.682764453961443,77.43184689507493,917.7564072402448,68.44230968849968
31,Solan,HIMACHAL PRADESH,580320,308754,271566,428578,5250,119866,31.03864311926604,76.94442140672783,879.5545968635224,73.85201268265784
29,Una,HIMACHAL PRADESH,521173,263692,257481,399715,2412,105929,31.58330388349513,76.18353932038836,976.4460051878707,76.69526241766171
16,Doda,JAMMU AND KASHMIR,409936,213641,196295,219083,596,61831,33.359614675767915,76.07163720136518,918.8077194920451,53.443220405136415
21,Jammu,JAMMU AND KASHMIR,1529958,813821,716137,1137135,19905,294739,32.713199095022645,74.8477520361991,879.9686909037737,74.32458930245144
4,Kargil,JAMMU AND KASHMIR,140802,77785,63017,86236,235,15824,33.565994894894914,76.63675315315312,810.1433438323584,61.246289115211425
7,Kathua,JAMMU AND KASHMIR,616435,326109,290326,389204,1443,109422,32.51781678321678,75.58901398601404,890.2728842196934,63.1378815284661
12,Pulwama,JAMMU AND KASHMIR,560440,293064,267376,293958,1537,73629,33.88414418604652,75.00921860465118,912.3467911445964,52.451288273499394
5,Punch,JAMMU AND KASHMIR,476835,251899,224936,261724,346,62900,33.791241290322574,74.29593161290322,892.9610677295266,54.88774943114495
10,Srinagar,JAMMU AND KASHMIR,1236829,651124,585705,748584,16413,165403,34.27312898550724,75.11021159420288,899.5291219491219,60.52445406761969
19,Udhampur,JAMMU AND KASHMIR,554985,296784,258201,322354,1214,73999,33.04770670731707,75.15286951219511,869.9963609898108,58.083371622656465
355,Bokaro,JHARKHAND,2062330,1072807,989523,1273520,9754,274726,23.6814965034965,85.98398374125864,922.3681426388903,61.75151406418953
347,Chatra,JHARKHAND,1042886,533935,508951,510061,590,27037,24.11619945750453,84.93295804701627,953.2077874647663,48.908605542695945
350,Deoghar,JHARKHAND,1492073,775022,717051,793538,1944,130193,24.33070100755672,86.75697632241814,925.2008330086113,53.18359088328788
354,Dhanbad,JHARKHAND,2684487,1405956,1278531,1722204,11568,427173,23.854509090909097,86.40372924901185,909.3677184776764,64.15393332133849
362,Dumka,JHARKHAND,1321442,668514,652928,672409,1193,62110,24.275006125574265,87.27662450229711,976.6856041907873,50.88448830898366
346,Garhwa,JHARKHAND,1322784,683575,639209,653476,565,29373,24.082114689265527,83.68664265536722,935.097099806166,49.4015651837337
349,Giridih,JHARKHAND,2445474,1258098,1187376,1253475,1944,125431,24.30578509874329,86.08710915619386,943.7865730650553,51.256934238515726
351,Godda,JHARKHAND,1313551,677927,635624,604519,874,43230,24.8189,87.2941735483871,937.5994760497812,46.02173802159185
366,Gumla,JHARKHAND,1025213,514390,510823,559720,831,31687,23.078532948929148,84.55056787479396,993.0655728144015,54.5954840603855
363,Jamtara,JHARKHAND,791042,404830,386212,426312,808,49419,23.97873318077801,86.95325080091534,954.01032532174,53.89246083014555
359,Latehar,JHARKHAND,726978,369666,357312,350682,340,38194,23.72511185840708,84.48298743362837,966.5806430669847,48.23832358063105
356,Lohardaga,JHARKHAND,461790,232629,229161,259707,351,28769,23.488796043165483,84.6605169064748,985.0921424242034,56.239199636198265
353,Pakur,JHARKHAND,900422,452661,447761,352881,328,31414,24.57260428082189,87.69691969178076,989.1751222217068,39.19062395188034
358,Palamu,JHARKHAND,1939869,1006302,933567,1024563,2155,68238,24.196925968109337,84.20310842824594,927.720505375126,52.81609222066026
364,Ranchi,JHARKHAND,2914253,1494937,1419316,1911433,22538,350908,23.184235061391547,85.31781937244203,949.4152596397039,65.58912352496506
352,Sahibganj,JHARKHAND,1150567,589391,561176,483263,591,34879,24.93667989690721,87.68264097938142,952.1285530318582,42.00216067382429
367,Simdega,JHARKHAND,599578,300309,299269,343483,423,16865,22.608760391198054,84.59193691931536,996.5369003259975,57.28745884605506
556,Bagalkot,KARNATAKA,1889752,950111,939641,1113412,3745,301389,16.15860676328503,75.64526070853468,988.9802349409701,58.9184189248113
583,Bangalore Rural,KARNATAKA,990923,509172,481751,688749,3729,214253,12.936827087794448,77.47369314775169,946.1458996174181,69.50580418458347
